"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2021";"0000";"17,8";"19,3";"17,8";"60,0";"60,0";"52,0";"9,8";"10,1";"9,2";"922,5";"922,5";"921,9";"0,4";"21,0";"2,8";"";"0,0"
"01/07/2021";"0100";"16,8";"17,8";"16,5";"67,0";"67,0";"60,0";"10,7";"10,8";"9,7";"923,1";"923,1";"922,5";"0,1";"191,0";"1,5";"";"0,0"
"01/07/2021";"0200";"16,6";"17,0";"16,2";"67,0";"69,0";"65,0";"10,5";"10,9";"10,1";"923,1";"923,2";"923,1";"0,7";"131,0";"1,5";"";"0,0"
"01/07/2021";"0300";"16,0";"16,9";"15,4";"76,0";"77,0";"66,0";"11,8";"11,8";"10,4";"923,3";"923,4";"923,1";"1,5";"133,0";"3,3";"";"0,0"
"01/07/2021";"0400";"15,6";"16,1";"14,7";"77,0";"82,0";"75,0";"11,6";"12,1";"11,3";"923,2";"923,3";"923,1";"1,0";"117,0";"3,1";"";"0,0"
"01/07/2021";"0500";"13,9";"15,7";"13,8";"87,0";"87,0";"77,0";"11,7";"11,9";"11,1";"923,2";"923,3";"923,1";"0,3";"49,0";"3,1";"";"0,0"
"01/07/2021";"0600";"14,6";"14,8";"13,9";"84,0";"87,0";"84,0";"11,9";"12,2";"11,7";"923,2";"923,2";"923,1";"1,4";"79,0";"3,2";"";"0,0"
"01/07/2021";"0700";"14,9";"14,9";"14,5";"83,0";"85,0";"83,0";"12,0";"12,1";"11,8";"923,3";"923,3";"923,2";"2,4";"140,0";"5,7";"";"0,0"
"01/07/2021";"0800";"14,7";"15,0";"14,6";"82,0";"83,0";"81,0";"11,7";"12,0";"11,6";"923,7";"923,7";"923,3";"2,0";"133,0";"5,2";"";"0,0"
"01/07/2021";"0900";"14,3";"14,9";"14,3";"82,0";"82,0";"81,0";"11,2";"11,8";"11,2";"924,4";"924,4";"923,7";"1,7";"102,0";"4,5";"";"0,0"
"01/07/2021";"1000";"13,8";"14,4";"13,7";"81,0";"82,0";"81,0";"10,6";"11,3";"10,6";"925,1";"925,1";"924,4";"2,0";"129,0";"4,9";"14,00";"0,0"
