"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2019";"0000";"19,5";"19,9";"18,8";"66,0";"69,0";"65,0";"13,0";"13,2";"12,8";"922,0";"922,0";"921,6";"2,1";"70,0";"4,8";"";"0,0"
"01/07/2019";"0100";"18,5";"19,5";"18,1";"70,0";"72,0";"66,0";"13,0";"13,2";"12,7";"922,1";"922,1";"921,9";"0,4";"82,0";"4,8";"";"0,0"
"01/07/2019";"0200";"17,9";"18,8";"17,6";"73,0";"74,0";"69,0";"13,1";"13,2";"12,7";"922,2";"922,3";"922,1";"0,4";"120,0";"2,2";"";"0,0"
"01/07/2019";"0300";"18,5";"18,6";"17,5";"71,0";"75,0";"71,0";"13,1";"13,3";"12,8";"922,1";"922,2";"922,1";"1,5";"115,0";"2,3";"";"0,0"
"01/07/2019";"0400";"16,1";"18,6";"16,1";"80,0";"80,0";"71,0";"12,8";"13,1";"12,5";"921,7";"922,1";"921,7";"0,4";"339,0";"2,9";"";"0,0"
"01/07/2019";"0500";"16,4";"16,5";"15,9";"80,0";"82,0";"80,0";"12,9";"13,2";"12,7";"921,3";"921,8";"921,3";"0,4";"124,0";"1,0";"";"0,0"
"01/07/2019";"0600";"16,3";"16,6";"16,0";"81,0";"81,0";"79,0";"13,0";"13,1";"12,7";"921,1";"921,3";"921,0";"0,2";"111,0";"1,2";"";"0,0"
"01/07/2019";"0700";"15,8";"16,6";"15,7";"83,0";"83,0";"79,0";"12,9";"13,2";"12,6";"921,0";"921,1";"921,0";"0,3";"156,0";"1,5";"";"0,0"
"01/07/2019";"0800";"15,6";"15,8";"15,1";"85,0";"86,0";"83,0";"13,2";"13,3";"12,5";"921,1";"921,1";"920,8";"0,2";"206,0";"2,0";"";"0,0"
"01/07/2019";"0900";"15,0";"15,7";"14,8";"88,0";"88,0";"85,0";"13,0";"13,2";"12,8";"921,4";"921,4";"921,1";"0,0";"280,0";"0,8";"";"0,0"
"01/07/2019";"1000";"15,1";"15,1";"14,6";"89,0";"89,0";"88,0";"13,4";"13,4";"12,6";"921,7";"921,7";"921,4";"0,2";"155,0";"0,9";"12,20";"0,0"
"01/07/2019";"1100";"16,8";"16,8";"14,9";"80,0";"89,0";"79,0";"13,4";"13,5";"12,9";"922,5";"922,5";"921,7";"0,6";"329,0";"1,9";"324,80";"0,0"
