"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2020";"0000";"17,4";"18,1";"17,3";"82,0";"82,0";"80,0";"14,3";"14,6";"14,1";"918,7";"918,7";"918,2";"1,4";"12,0";"3,7";"";"0,0"
"01/07/2020";"0100";"16,5";"17,4";"16,2";"87,0";"87,0";"82,0";"14,3";"14,7";"13,8";"918,9";"919,2";"918,7";"1,2";"28,0";"2,2";"";"0,0"
"01/07/2020";"0200";"15,8";"16,6";"15,7";"89,0";"89,0";"86,0";"13,9";"14,4";"13,7";"918,5";"918,9";"918,5";"0,1";"51,0";"2,3";"";"0,0"
"01/07/2020";"0300";"15,4";"16,1";"15,4";"89,0";"90,0";"88,0";"13,7";"14,4";"13,5";"918,1";"918,6";"918,0";"0,4";"77,0";"1,3";"";"0,0"
"01/07/2020";"0400";"15,5";"15,7";"15,2";"91,0";"91,0";"89,0";"14,0";"14,2";"13,6";"917,9";"918,1";"917,9";"0,0";"69,0";"1,1";"";"0,0"
"01/07/2020";"0500";"15,0";"15,6";"14,7";"91,0";"91,0";"90,0";"13,5";"14,1";"13,2";"918,2";"918,2";"917,9";"0,5";"195,0";"1,4";"";"0,0"
"01/07/2020";"0600";"14,5";"15,2";"14,5";"91,0";"92,0";"91,0";"13,1";"13,8";"13,1";"917,7";"918,2";"917,7";"0,4";"170,0";"1,4";"";"0,0"
"01/07/2020";"0700";"14,6";"15,0";"14,2";"92,0";"92,0";"91,0";"13,3";"13,7";"12,9";"917,7";"917,7";"917,5";"0,2";"192,0";"1,0";"";"0,0"
"01/07/2020";"0800";"14,5";"14,7";"14,3";"92,0";"92,0";"92,0";"13,2";"13,4";"13,0";"917,9";"917,9";"917,7";"0,3";"181,0";"0,8";"";"0,0"
"01/07/2020";"0900";"14,2";"14,5";"14,0";"92,0";"92,0";"92,0";"13,0";"13,3";"12,8";"917,8";"917,9";"917,8";"0,4";"186,0";"0,9";"";"0,0"
"01/07/2020";"1000";"14,1";"14,5";"13,8";"92,0";"93,0";"92,0";"12,9";"13,3";"12,6";"918,0";"918,0";"917,8";"0,1";"137,0";"0,9";"8,10";"0,0"
"01/07/2020";"1100";"15,8";"15,8";"13,9";"93,0";"93,0";"92,0";"14,6";"14,6";"12,7";"918,5";"918,5";"918,0";"0,2";"13,0";"2,5";"244,30";"0,0"
"01/07/2020";"1200";"18,4";"19,2";"15,8";"79,0";"93,0";"76,0";"14,7";"16,6";"14,6";"919,1";"919,1";"918,5";"1,0";"336,0";"4,0";"971,70";"0,0"
"01/07/2020";"1300";"20,6";"20,6";"18,3";"72,0";"82,0";"72,0";"15,4";"15,7";"14,5";"918,9";"919,2";"918,9";"3,2";"329,0";"7,2";"1455,20";"0,0"
"01/07/2020";"1400";"22,8";"22,9";"20,2";"64,0";"72,0";"62,0";"15,6";"16,2";"14,5";"918,4";"918,9";"918,4";"2,0";"349,0";"6,7";"2153,40";"0,0"
"01/07/2020";"1500";"25,7";"25,8";"22,8";"48,0";"64,0";"45,0";"13,8";"15,9";"13,0";"917,4";"918,4";"917,4";"3,8";"307,0";"8,9";"2527,20";"0,0"
"01/07/2020";"1600";"25,9";"26,1";"24,6";"45,0";"49,0";"42,0";"12,9";"13,7";"12,1";"916,3";"917,4";"916,3";"3,8";"292,0";"10,1";"2238,40";"0,0"
"01/07/2020";"1700";"26,0";"26,5";"24,9";"45,0";"46,0";"41,0";"13,0";"13,4";"11,8";"915,7";"916,3";"915,7";"3,8";"303,0";"12,5";"2056,20";"0,0"
"01/07/2020";"1800";"26,7";"26,9";"24,7";"43,0";"47,0";"41,0";"13,0";"13,6";"11,7";"915,5";"915,8";"915,4";"3,6";"292,0";"9,9";"1572,20";"0,0"
"01/07/2020";"1900";"24,3";"26,9";"24,3";"48,0";"50,0";"42,0";"12,7";"13,8";"12,0";"915,4";"915,6";"915,4";"3,6";"281,0";"8,0";"908,80";"0,0"
"01/07/2020";"2000";"22,8";"24,3";"22,8";"57,0";"57,0";"48,0";"13,7";"13,8";"12,8";"915,8";"915,8";"915,4";"1,8";"285,0";"6,5";"368,50";"0,0"
"01/07/2020";"2100";"20,2";"22,8";"20,1";"65,0";"65,0";"56,0";"13,3";"13,7";"13,3";"916,1";"916,1";"915,8";"1,5";"296,0";"4,6";"38,00";"0,0"
"01/07/2020";"2200";"20,2";"21,2";"20,0";"66,0";"66,0";"62,0";"13,6";"13,7";"13,3";"916,2";"916,2";"916,1";"1,2";"295,0";"2,6";"";"0,0"
"01/07/2020";"2300";"19,4";"20,2";"19,1";"69,0";"70,0";"66,0";"13,6";"13,9";"13,2";"916,3";"916,3";"915,9";"1,2";"287,0";"2,6";"";"0,0"
"02/07/2020";"0000";"18,8";"19,9";"18,8";"71,0";"71,0";"68,0";"13,5";"13,8";"13,4";"916,3";"916,4";"916,1";"0,3";"328,0";"2,6";"";"0,0"
"02/07/2020";"0100";"18,9";"19,2";"18,5";"72,0";"73,0";"71,0";"13,7";"14,1";"13,5";"916,4";"916,5";"916,1";"0,0";"113,0";"0,8";"";"0,0"
"02/07/2020";"0200";"17,9";"18,9";"17,9";"77,0";"77,0";"72,0";"13,9";"14,1";"13,7";"916,4";"916,5";"916,3";"0,0";"28,0";"0,7";"";"0,0"
"02/07/2020";"0300";"18,2";"18,2";"17,6";"76,0";"79,0";"76,0";"14,0";"14,1";"13,7";"916,4";"916,5";"916,3";"0,0";"194,0";"0,7";"";"0,0"
"02/07/2020";"0400";"18,2";"18,5";"18,2";"76,0";"76,0";"75,0";"14,0";"14,1";"13,9";"916,4";"916,6";"916,3";"0,0";"154,0";"0,0";"";"0,0"
"02/07/2020";"0500";"17,9";"18,2";"17,9";"80,0";"80,0";"76,0";"14,4";"14,4";"14,0";"916,5";"916,6";"916,3";"0,1";"190,0";"0,7";"";"0,0"
"02/07/2020";"0600";"17,1";"17,9";"17,1";"82,0";"82,0";"79,0";"14,0";"14,4";"13,9";"916,3";"916,5";"916,3";"0,1";"295,0";"0,7";"";"0,0"
"02/07/2020";"0700";"17,3";"17,4";"16,9";"82,0";"84,0";"82,0";"14,2";"14,5";"14,0";"916,6";"916,6";"916,3";"0,0";"349,0";"0,6";"";"0,0"
"02/07/2020";"0800";"16,9";"17,3";"16,8";"84,0";"84,0";"82,0";"14,2";"14,4";"14,1";"916,9";"916,9";"916,6";"0,0";"29,0";"1,1";"";"0,0"
"02/07/2020";"0900";"16,9";"17,4";"16,7";"79,0";"84,0";"77,0";"13,1";"14,2";"13,1";"917,6";"917,6";"916,9";"0,7";"224,0";"1,5";"";"0,0"
"02/07/2020";"1000";"15,7";"16,9";"15,7";"87,0";"87,0";"79,0";"13,5";"13,6";"13,0";"918,2";"918,2";"917,6";"0,6";"45,0";"1,6";"8,40";"0,0"
"02/07/2020";"1100";"16,9";"16,9";"15,6";"87,0";"89,0";"87,0";"14,7";"14,7";"13,5";"919,0";"919,0";"918,2";"0,3";"256,0";"1,6";"191,10";"0,0"
"02/07/2020";"1200";"19,5";"19,5";"16,9";"79,0";"87,0";"78,0";"15,7";"16,0";"14,4";"919,7";"919,7";"919,0";"0,6";"1,0";"1,8";"509,40";"0,0"
"02/07/2020";"1300";"21,5";"22,0";"19,5";"62,0";"79,0";"61,0";"13,9";"15,6";"13,7";"919,7";"919,8";"919,7";"0,9";"40,0";"2,5";"1354,50";"0,0"
"02/07/2020";"1400";"22,4";"23,0";"21,1";"58,0";"65,0";"56,0";"13,8";"14,7";"13,4";"919,1";"919,7";"919,1";"1,7";"293,0";"3,4";"1497,10";"0,0"
"02/07/2020";"1500";"24,7";"24,8";"22,0";"54,0";"61,0";"52,0";"14,8";"15,1";"13,3";"918,1";"919,1";"918,1";"1,4";"352,0";"4,9";"1905,70";"0,0"
"02/07/2020";"1600";"26,4";"26,7";"24,3";"46,0";"55,0";"46,0";"13,9";"15,1";"13,4";"917,1";"918,1";"917,1";"2,3";"332,0";"5,9";"2427,70";"0,0"
"02/07/2020";"1700";"24,9";"26,6";"24,1";"56,0";"57,0";"46,0";"15,5";"15,5";"13,9";"916,5";"917,1";"916,4";"1,4";"333,0";"6,0";"1263,60";"0,0"
"02/07/2020";"1800";"26,3";"26,6";"24,7";"47,0";"57,0";"45,0";"14,0";"15,4";"13,1";"916,2";"916,5";"916,2";"2,8";"268,0";"7,5";"1444,00";"0,0"
"02/07/2020";"1900";"26,0";"27,0";"24,0";"48,0";"54,0";"42,0";"14,1";"14,6";"12,3";"916,3";"916,3";"916,2";"2,1";"287,0";"8,3";"971,30";"0,0"
"02/07/2020";"2000";"24,0";"26,0";"23,1";"54,0";"58,0";"47,0";"14,2";"14,9";"13,0";"916,8";"916,8";"916,3";"1,8";"288,0";"7,6";"384,20";"0,0"
"02/07/2020";"2100";"21,1";"24,0";"20,9";"63,0";"64,0";"53,0";"13,8";"14,0";"13,5";"916,9";"917,0";"916,8";"1,5";"285,0";"5,5";"30,50";"0,0"
"02/07/2020";"2200";"20,5";"21,3";"20,1";"66,0";"67,0";"62,0";"14,0";"14,0";"13,7";"917,4";"917,4";"916,9";"1,1";"302,0";"2,5";"";"0,0"
"02/07/2020";"2300";"20,2";"20,5";"19,9";"69,0";"70,0";"66,0";"14,3";"14,3";"13,7";"917,7";"917,8";"917,4";"1,2";"14,0";"2,1";"";"0,0"
"03/07/2020";"0000";"20,0";"21,0";"20,0";"72,0";"72,0";"66,0";"14,8";"14,8";"14,2";"918,1";"918,2";"917,6";"0,8";"205,0";"3,6";"";"0,0"
"03/07/2020";"0100";"19,4";"19,9";"19,4";"74,0";"75,0";"72,0";"14,6";"15,1";"14,5";"918,7";"919,0";"918,1";"2,1";"184,0";"6,3";"";"0,0"
